epoch,Hypnogram,Confidence
0,W,0.9998160802620722
1,W,0.9996215980357782
2,W,0.9974815622027181
3,W,0.9973933229015144
4,W,0.9694081879621974
5,W,0.9966580288061296
6,W,0.9884198864574375
7,W,0.966586262334415
8,W,0.9547185788367742
9,W,0.9876062283915401
10,W,0.9659885290603336
11,W,0.9374794493045702
12,W,0.9639505017205892
13,W,0.9873750117055151
14,W,0.9854100577386117
15,W,0.9873502444522642
16,W,0.9945856558031656
17,W,0.9673809976766317
18,W,0.9900035086387892
19,W,0.9906387200794317
20,W,0.9367931996305339
21,W,0.9797426365357844
22,W,0.9920885674210663
23,W,0.9959430067211129
24,W,0.9826391493980144
25,W,0.9565788914894257
26,W,0.8561298977856243
27,W,0.8803128507347149
28,W,0.8382851569592393
29,W,0.7563669971776861
30,W,0.9667827849913259
31,W,0.7183990959476206
32,W,0.8517452971183885
33,W,0.8739844350971135
34,W,0.6318602723883606
35,W,0.9610758886370582
36,W,0.780983904430534
37,W,0.9905113510495789
38,W,0.8256401528280948
39,W,0.5647533317165817
40,W,0.5315494904536939
41,W,0.8609979066653917
42,W,0.5231364231282591
43,N1,0.39143701329737696
44,N1,0.466742378069274
45,N2,0.6596717623604601
46,N2,0.49059995885920904
47,N2,0.5590895236393724
48,N2,0.867901801478247
49,N2,0.9385148825845648
50,N2,0.759889525652974
51,N2,0.8499371514978992
52,N2,0.9658094608778495
53,N2,0.9306795913807737
54,N2,0.8513976238230551
55,N2,0.851763675913634
56,N2,0.7440492529201684
57,N2,0.865304054692456
58,N2,0.8649919933511151
59,N2,0.8241638671680063
60,N2,0.5333975507802816
61,N3,0.7685675008179005
62,N2,0.5991895749027877
63,N3,0.7889909335280219
64,N2,0.583204620422594
65,N2,0.6052256316915997
66,N3,0.7386036088305356
67,N3,0.759287495969829
68,N3,0.9142221597995295
69,N3,0.9037141598283505
70,N3,0.953826952304416
71,N3,0.7600941923477866
72,N3,0.6999488772512041
73,N3,0.8517082633517608
