epoch,Hypnogram,Confidence
0,W,0.9838358964639005
1,W,0.975962501619559
2,W,0.9383242927001786
3,W,0.9653744140851919
4,W,0.9664515511520619
5,W,0.9700032963984392
6,W,0.9892050128796175
7,W,0.9841404301656858
8,W,0.9918672644602841
9,W,0.987305921875643
10,W,0.9974095316766268
11,W,0.9884404568573888
12,W,0.9727760969732666
13,W,0.9357737186348973
14,W,0.8833592168982615
15,W,0.8892035704219527
16,W,0.8624240060407968
17,W,0.9738565148888982
18,W,0.7360751843326033
19,W,0.6846635433000812
20,W,0.8914987222500582
21,W,0.8837225790334196
22,N1,0.41288634793596524
23,N2,0.3498298956219645
24,N2,0.48444446442934186
25,W,0.7053173833011306
26,N2,0.4797331074885442
27,W,0.4969909389442135
28,W,0.7566688303647511
29,W,0.7517474234901631
30,W,0.652610342245522
31,W,0.8358802261123198
32,W,0.8877188457287641
33,W,0.9215122668648043
34,W,0.9099758139548747
35,W,0.9595694581727976
36,W,0.9550326058482767
37,W,0.9340101482804639
38,W,0.9583481418396388
39,W,0.9551567379246021
40,W,0.8310533571521792
41,W,0.8906466762456201
42,W,0.8554093905038245
43,W,0.7152964993501512
44,W,0.771163459138557
45,W,0.7540932395290594
46,W,0.45196404070109053
47,N1,0.4887068533964718
48,W,0.6862375204810276
49,W,0.8045611124121257
50,W,0.7905413122211272
51,W,0.9557356186996496
52,W,0.95873679129612
53,W,0.7796857726655742
54,W,0.808841697445535
55,W,0.8563488661658397
56,W,0.8850715875539334
57,W,0.7716239870039001
58,W,0.7298950121710898
59,W,0.4188438223665197
60,W,0.36273612811044453
61,N2,0.40873434527089475
62,N2,0.5960774553889943
63,N2,0.45713509989567414
64,N2,0.428398557955537
65,N2,0.49711970493067487
66,N2,0.45965181438664315
67,N2,0.6612999483918492
68,N2,0.48215866425675136
69,W,0.39853322414552483
70,N2,0.42021222092806615
71,N2,0.5806642511544395
72,N2,0.5177610528389494
73,N2,0.4889284847860663
74,N2,0.6521371305451382
75,N2,0.5436444398610341
76,N2,0.5126921600183724
77,N2,0.4725149819679808
78,N2,0.49457636324107934
79,N2,0.47759688732022415
80,N2,0.5266177546274364
81,N2,0.4760822263908643
82,N2,0.43952299365080727
83,N2,0.5181153246940872
84,N2,0.48081761061134004
85,N2,0.41444160613456194
86,N2,0.41335987459772794
87,N2,0.5407636236197373
88,N2,0.39521824049283716
89,N2,0.4186267599019324
90,N2,0.37899163678839276
91,N2,0.4012222115933705
92,N2,0.4209520005068841
93,N2,0.4877350167731227
94,N2,0.46530283926133276
95,N2,0.43739667696565143
96,N2,0.5286116477546451
97,N2,0.5641928932198221
98,N2,0.6487453260691171
99,N2,0.6597130305453949
100,N2,0.6363609019524272
101,N2,0.7536435909740988
102,N2,0.7239356142576464
103,N2,0.6620891668921594
104,N2,0.7897091957358207
105,N2,0.6841292973384606
106,N2,0.744945710173594
107,N2,0.6330966851233667
108,N2,0.7424029411738957
109,N2,0.7192604476596194
110,N2,0.7604612041095543
111,W,0.37910490070955866
112,W,0.4708579021058523
113,W,0.5189489669648307
114,W,0.6083130775900005
115,W,0.6864140462219529
116,W,0.5946522261739221
117,W,0.8789032988344806
118,W,0.8662713416095056
119,W,0.9381399033718999
120,W,0.8022683929184153
121,W,0.7205044841991917
122,W,0.8255374897149476
123,W,0.8883830943504714
124,W,0.790304090665257
125,W,0.8108717930412237
126,W,0.9063776187458272
127,W,0.8731682329091853
128,W,0.7754470563741434
129,W,0.8282510347564658
130,W,0.9413288724975997
131,W,0.7489024653941576
132,W,0.8036555220341765
133,W,0.9285583568049155
134,W,0.8479721007759262
135,W,0.8983890371208166
136,W,0.696117335185554
137,W,0.7480571683403595
138,W,0.7675255816804971
139,W,0.6679421382776799
140,W,0.6952938102158582
141,W,0.7739038619624856
142,W,0.7836817469923494
143,W,0.8032490658570799
144,W,0.7207304801071415
145,W,0.8049908671679951
146,W,0.635019479653736
147,W,0.5713762941067115
148,W,0.6380501099257306
149,W,0.8370712335369219
150,W,0.6865642088595131
151,W,0.7581478364705937
152,W,0.7219784430253368
153,W,0.7601312443536917
154,W,0.6519832557055565
155,W,0.45126100326143537
156,N2,0.5354054983945414
157,N2,0.5095122680719355
158,N3,0.687847873116867
159,N3,0.7434694009088487
160,W,0.4089831401039535
161,W,0.7543054113584213
162,N2,0.4045491950548739
163,W,0.36218812478684814
164,W,0.4072230201089094
165,N2,0.3646159925779789
166,W,0.6191922364728913
167,W,0.4566113634738682
168,W,0.38962043344451985
169,W,0.36606702468132785
170,N1,0.3914060325337614
171,W,0.336083946882951
172,N1,0.495955987810178
173,N1,0.5205426289587533
174,N1,0.5297536905471568
175,N1,0.48700166710590587
176,N2,0.5677718982209476
177,N1,0.40157649020551744
178,N2,0.6477270222653296
179,N2,0.6993705120926546
180,N2,0.7420831105313718
181,N2,0.6150593264328557
182,N2,0.6414086315976406
183,N2,0.6815431668499851
184,N3,0.724566156424513
185,N3,0.7481234283172575
186,N3,0.5329007408916979
187,N3,0.6654266086767259
188,N3,0.7347630131836118
189,N3,0.7801856301270744
190,N3,0.5875877944983872
191,N3,0.8895424574953755
192,N3,0.868962753541483
193,N3,0.7702958010850508
194,N3,0.9060342841934497
195,N3,0.8876181642106249
196,N3,0.8762752337237404
197,N3,0.9198990188261679
198,N3,0.9570811903833218
199,N3,0.912242395836598
200,N3,0.9866079113853483
201,N3,0.9487400349764997
